时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-04-07 22:42:08.299	WT901BLE67(D2:26:08:77:94:1C)	-0.0017314215245317491	-0.015400471006723013	1.0088431499209078	-0.9860440781876937	-0.355563549294702	0.13096527954870815	-2.194936311635169	1.2439299711297278	1.4647747918550298	41.5	97.1	-129.093	1.0	0.0	0.0	0.0	25.8	10080.1.20	90
2025-04-07 22:42:08.390	WT901BLE67(D2:26:08:77:94:1C)	0.006813416126601108	-0.0017942026176373618	1.0220950748885762	1.51224805924142	-1.559922864889023	0.5382742703461348	-0.4017901060873379	-1.8423114222549195	0.5457632386531232	41.5	97.1	-129.093	0.9999655024435676	0.0	0.0	0.008306258049406268	25.8	10080.1.20	90
2025-04-07 22:42:08.481	WT901BLE67(D2:26:08:77:94:1C)	-0.006485204819361627	-0.005925800270679563	1.0258872842534679	1.7480799351809033	0.6271822874976579	-1.4461932630523857	1.237181629652109	-0.732388678518664	-0.5680543779594993	41.5	97.1	-129.093	0.99986215105833	0.0	0.0	0.016603580367180463	25.8	10080.1.20	90
2025-04-07 22:42:08.572	WT901BLE67(D2:26:08:77:94:1C)	0.011489008461723826	-0.009978207271742374	1.0333777169630673	0.5296746135605592	0.29906200433625213	0.6103783340814855	0.2946377676042965	1.647059286824187	0.8295016144060756	41.5	97.1	-129.093	0.9996903690891935	0.0	0.0	0.024883045438851965	25.8	10080.1.20	90
2025-04-07 22:42:08.663	WT901BLE67(D2:26:08:77:94:1C)	0.0038702349041023795	0.007017907321948	1.0144763271022972	-1.1684928650754993	-0.5401541792259665	0.9694793023546405	-0.7503615749459664	-0.13981210842947797	-0.02070325992228419	41.5	97.1	-129.093	0.9994508599231666	0.0	0.0	0.03313576012170001	25.8	10080.1.20	90
2025-04-07 22:42:08.754	WT901BLE67(D2:26:08:77:94:1C)	0.017496311372201655	-0.007890465893782584	1.0261107357534613	-0.3899995936612674	-0.9582314284108776	0.42829307941174793	1.0923283407238038	-0.7036220995170661	-0.8070517772159005	41.5	97.1	-129.093	0.9991446040683213	0.0	0.0	0.04135287367472109	25.8	10080.1.20	90
2025-04-07 22:42:08.845	WT901BLE67(D2:26:08:77:94:1C)	0.01966399420391914	0.005643658547088648	1.0051865529967983	-0.22768923962553864	-2.1142962774373526	-1.5385920590656768	0.679347015599747	-1.186056610632483	1.618929694760954	41.5	97.1	-129.093	0.9987728549456957	0.0	0.0	0.04952559160297172	25.8	10080.1.20	90
2025-04-07 22:42:08.936	WT901BLE67(D2:26:08:77:94:1C)	-0.008233744101506915	-0.0016138153557349695	1.0141844937209057	0.15803587223759666	-0.8780613725539578	0.05429928264709955	1.167051343208369	0.612895989540599	-0.7740848016876211	41.5	97.1	-129.093	0.9983371335152987	0.0	0.0	0.057645189256837016	25.8	10080.1.20	90
2025-04-07 22:42:09.027	WT901BLE67(D2:26:08:77:94:1C)	-0.01254773652365883	0.0042217097015468654	1.0353837991623325	0.919037422044234	0.657461286340909	0.11111894816659083	0.5532885453458357	0.24777821023367522	-0.17407449042375875	41.5	97.1	-129.093	0.9978392217631663	0.0	0.0	0.0657030251288219	25.8	10080.1.20	90
2025-04-07 22:42:09.118	WT901BLE67(D2:26:08:77:94:1C)	0.005451549536947359	0.009919087332713192	1.01629066801746	-0.4529829679213256	-0.004232575820030066	-0.1334501163739734	-0.7317440239192468	0.7190010661774333	-0.09208760159929653	41.5	97.1	-129.093	0.9972811550819978	0.0	0.0	0.07369055379298135	25.8	10080.1.20	90
